Place,CarNo.,Team,Team.1,TotalScore,CostScore,PresentationScore,DesignScore,AccelerationScore,Skid PadScore,AutocrossScore,EnduranceScore,EfficiencyScore,Enduranceand EfficiencyScore,Penalty
1,12,Osaka University,大阪大学,853.34,79.55,56.25,123.0,86.22,64.25,116.29,271.9,55.88,327.78,
2,1,Kyoto Institute of Technology,京都工芸繊維大学,840.46,72.93,52.5,108.0,67.37,71.37,125.0,275.0,68.29,343.29,
3,E1,Nagoya University EV,名古屋大学EV,776.51,50.37,60.0,140.0,90.81,34.49,95.22,224.22,81.4,305.62,
4,6,Tongji University,Tongji University,774.46,23.67,56.25,114.0,97.83,45.84,104.04,273.48,59.35,332.83,
5,76,U.A.S. Graz,U.A.S. Graz,740.24,12.36,52.5,150.0,69.21,75.0,116.14,232.46,32.57,265.03,
6,7,Meijo University,名城大学,739.59,74.56,63.75,121.0,57.15,59.1,103.23,198.32,62.48,260.8,
7,2,Shibaura Institute of Technology,芝浦工業大学,738.53,58.83,71.25,85.0,85.08,52.13,114.9,231.44,39.9,271.34,
8,23,Tokai University,東海大学,709.94,15.0,56.25,123.0,80.00,51.79,94.29,243.24,66.37,309.61,-20.0
9,3,Nagoya Institute of Technology,名古屋工業大学,701.2,63.64,56.25,123.0,62.61,66.99,113.86,176.95,67.9,244.85,-30.0
10,E4,Tongji University EV,Tongji University EV,678.45,18.06,56.25,135.0,DSQ,39.43,95.14,244.26,90.31,334.57,
11,32,Kobe University,神戸大学,674.54,54.46,75.0,103.0,86.73,42.51,105.94,168.79,58.11,226.9,-20.0
12,8,Tokyo University of Science,東京理科大学,673.41,50.76,37.5,103.0,69.77,25.47,87.2,237.95,61.76,299.71,
13,5,Yokohama National University,横浜国立大学,673.22,59.28,56.25,109.0,29.02,55.9,106.83,194.53,62.41,256.94,
14,13,University of Fukui,福井大学,664.05,52.3,48.75,77.0,65.19,38.31,62.27,267.42,52.81,320.23,
15,11,Shizuoka University,静岡大学,640.69,30.52,63.75,90.0,54.94,30.93,66.19,253.61,50.75,304.36,
16,18,Ibaraki University,茨城大学,639.21,53.78,33.75,114.0,68.54,57.95,108.48,155.09,47.62,202.71,
17,26,Tokyo University of Agriculture and Technology,東京農工大学,627.13,67.47,33.75,59.0,49.24,14.62,81.95,256.98,64.12,321.1,
18,14,Tokyo City University,東京都市大学,626.27,76.55,45.0,53.0,84.89,43.99,93.89,198.37,30.58,228.95,
19,15,Nippon Institute of Technology,日本工業大学,624.19,81.07,63.75,80.0,51.79,36.84,89.3,166.21,75.23,241.44,-20.0
20,17,KASETSART UNIVERSITY,KASETSART UNIVERSITY,607.75,13.16,45.0,89.0,72.15,30.2,89.16,213.77,55.31,269.08,
21,43,Universitas Negeri Yogyakarta,Universitas Negeri Yogyakarta,606.4,29.61,56.25,60.0,64.37,44.3,79.22,205.71,66.94,272.65,
22,31,Sanyo-onoda City University,山陽小野田市立山口東京理科大学,603.4,50.73,41.25,55.0,82.02,35.16,67.91,230.39,40.94,271.33,
23,21,Waseda University,早稲田大学,601.48,21.68,60.0,90.0,67.21,51.96,100.12,185.66,44.85,230.51,-20.0
24,22,Shizuoka Insutitute Science and Technology,静岡理工科大学,592.19,17.87,15.0,56.0,50.77,32.25,100.83,251.42,68.05,319.47,
25,E14,Toyohashi University of Technology EV,豊橋技術科学大学EV,582.06,33.75,48.75,84.0,20.03,41.26,71.53,183.74,100.0,283.74,-1.0
26,45,Universitas Gadjah Mada,Universitas Gadjah Mada,576.18,23.95,67.5,70.0,4.50,54.36,69.31,220.77,65.79,286.56,
27,4,Nihon Automobile College,日本自動車大学校,538.86,41.7,63.75,71.0,80.42,52.61,107.28,75.09,47.01,122.1,
28,51,Aichi Institute Of Technology,愛知工業大学,532.03,42.43,48.75,83.0,38.22,30.73,49.72,183.66,55.52,239.18,
29,25,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,511.55,16.47,15.0,52.0,4.50,40.59,65.24,235.58,82.17,317.75,
30,9,Kyoto University,京都大学,508.29,19.43,52.5,125.0,77.53,52.57,105.1,14.0,62.16,76.16,
31,44,Prince of Songkla University,Prince of Songkla University,495.54,23.39,45.0,65.0,64.11,27.43,89.66,115.67,65.28,180.95,
32,48,Okayama University of Science,岡山理科大学,494.03,5.0,33.75,47.0,30.26,31.6,60.98,260.42,45.02,305.44,-20.0
33,E15,National Tsing Hua University EV,National Tsing Hua University EV,490.09,19.45,37.5,73.0,61.92,7.52,6.5,193.31,90.89,284.2,
34,28,Sophia University,上智大学,489.48,25.42,63.75,100.0,65.35,69.59,91.06,17.0,57.31,74.31,
35,E6,"National Institute of Technology, Ichinoskei College / Iwate University EV",一関工業高等専門学校/岩手大学EV,484.03,24.47,56.25,55.0,53.99,12.32,47.94,149.49,84.57,234.06,
36,30,University of Yamanashi,山梨大学,481.74,27.78,37.5,71.0,56.60,44.85,90.98,90.27,62.76,153.03,
37,60,Teikyo University,帝京大学,479.82,25.47,33.75,48.0,65.08,29.37,52.62,187.82,57.71,245.53,-20.0
38,29,Kyushu Institute of Technology,九州工業大学,477.3,28.2,26.25,72.0,73.53,40.22,88.28,113.14,35.68,148.82,
39,24,National Tsing Hua University,National Tsing Hua University,472.27,31.23,30.0,91.0,68.82,4.87,33.37,176.26,56.72,232.98,-20.0
40,10,Chiba University,千葉大学,466.18,50.6,45.0,92.0,100.00,62.61,105.97,10.0,,10.0,
41,20,Osaka Institute of Technology,大阪工業大学,456.26,12.0,37.5,5.0,55.69,35.37,82.25,163.28,65.17,228.45,
42,58,Saitama University,埼玉大学,409.41,21.6,52.5,62.0,22.65,16.61,49.97,184.08,0.0,184.08,
43,35,GifuUniversity,岐阜大学,409.32,16.73,33.75,42.0,33.77,27.34,51.17,144.41,60.15,204.56,
44,38,"College of Industrial Technology, Nihon University",日本大学 生産工学部,400.58,22.5,18.75,39.0,4.50,21.13,50.02,169.98,74.7,244.68,
45,16,Okayama Unversity,岡山大学,391.55,35.87,48.75,67.0,31.43,3.5,40.04,109.68,55.28,164.96,
46,82,Kumoh National Institute of Technology / Kongju National University,Kumoh National Institute of Technology / Kongju National University,380.54,11.54,48.75,18.0,67.93,36.66,33.15,103.53,60.98,164.51,
47,37,Osaka Sangyo University,大阪産業大学,376.15,38.17,33.75,66.0,40.40,3.5,8.73,120.04,65.56,185.6,
48,41,Institute of Technologists,ものつくり大学,369.17,9.41,37.5,40.0,33.11,3.5,54.02,162.38,29.25,191.63,
49,E8,TOYOTA TECHNICAL COLLEGE NAGOYA EV,トヨタ名古屋自動車大学校EV,360.55,7.0,37.5,58.0,45.91,3.5,6.5,112.35,89.79,202.14,
50,39,Kanazawa Institute of Technology,金沢工業大学,355.56,27.08,63.75,67.0,80.48,32.8,75.45,9.0,,9.0,
51,52,The University of Kitakyushu,北九州市立大学,323.16,23.47,48.75,42.0,32.94,12.48,6.5,95.64,61.38,157.02,
52,34,King Mongkut's University of Technology Thonburi,King Mongkut's University of Technology Thonburi,275.15,17.63,33.75,90.0,63.04,17.17,79.56,4.0,,4.0,-30.0
53,57,TOYOTATECHNICALCOLLEGE,トヨタ名古屋自動車大学校,256.28,11.17,52.5,66.0,52.13,10.24,45.11,16.0,23.13,39.13,-20.0
54,50,Niigata University,新潟大学,252.64,62.38,30.0,60.0,23.63,22.41,54.22,,,0.0,
55,42,Kanazawa University,金沢大学,249.65,76.89,33.75,52.0,42.90,44.11,,,,0.0,
56,49,Tottori university,鳥取大学,249.17,15.14,37.5,67.0,,,27.61,89.39,32.53,121.92,-20.0
57,77,Doshisha University,同志社大学,228.74,70.72,18.75,62.0,55.94,,17.33,4.0,,4.0,
58,47,Hokkaido University,北海道大学,224.17,30.94,26.25,54.0,25.81,32.43,47.74,7.0,,7.0,
59,19,Ritsumeikan University,立命館大学,223.8,40.51,52.5,89.0,,0.0,43.79,18.0,0.0,18.0,-20.0
