Place,Car No.,Team,Team.1,Run #1 Time,Run #1 # of Cones,Run #1 Off Course/Missed Slalom,Run #1 Adj.,Run #2 Time,Run #2 # of Cones,Run #2 Off Course/Missed Slalom,Run #2 Adj.,Run #3 Time,Run #3 # of Cones,Run #3 Off Course/Missed Slalom,Run #3 Adj.,Run #4 Time,Run #4 # of Cones,Run #4 Off Course/Missed Slalom,Run #4 Adj.,Viocount,Best Time,Event Score
43,E18,Institute of TechnologistsEV,ものつくり大学EV,162.850,0,0,162.850,125.365,2,0,129.365,,,,DNF,,,,DNF,0,129.365,6.5
48,C35,Kindai University,近畿大学,,,,DNF,,,,DNF,,,,DNF,,,,DNF,0,DNF,0
,C04,Kogakuin University,工学院大学,,,,,,,,,,,,,,,,,0,,
,C27,Okayama University,岡山大学,,,,,,,,,,,,,,,,,0,,
,C30,Niigata University,新潟大学,,,,,,,,,,,,,,,,,0,,
,C32,Tokyo University of Science,東京理科大学,,,,,,,,,,,,,,,,,0,,
,C34,Gunma university,群馬大学,,,,,,,,,,,,,,,,,0,,
,C38,Fukui University of Technology,福井工業大学,,,,,,,,,,,,,,,,,0,,
,C40,Meisei University,明星大学,,,,,,,,,,,,,,,,,0,,
,C43,Hiroshima Institute of Technology,広島工業大学,,,,,,,,,,,,,,,,,0,,
,C46,Sojo University,崇城大学,,,,,,,,,,,,,,,,,0,,
,C47,Tohoku Gakuin University,東北学院大学,,,,,,,,,,,,,,,,,0,,
,C48,Shizuoka Professional College Of Automobile Technology Sports,静岡工科自動車大学校,,,,,,,,,,,,,,,,,0,,
,C51,Harbin Institute of Technology at Weihai,Harbin Institute of Technology at Weihai,,,,,,,,,,,,,,,,,0,,
,C55,Kokushikan University,国士舘大学,,,,,,,,,,,,,,,,,0,,
,C57,Mie University,三重大学,,,,,,,,,,,,,,,,,0,,
,C59,Tokai University,東海大学,,,,,,,,,,,,,,,,,0,,
,C60,Aoyama Gakuin University,青山学院大学,,,,,,,,,,,,,,,,,0,,
,C62,Hiroshima University,広島大学,,,,,,,,,,,,,,,,,0,,
,C63,Muroran Institute of Technology,室蘭工業大学,,,,,,,,,,,,,,,,,0,,
,C64,Osaka Sangyo University,大阪産業大学,,,,,,,,,,,,,,,,,0,,
,C67,Universiti Putra Malaysia,Universiti Putra Malaysia,,,,,,,,,,,,,,,,,0,,
,E04,Shizuoka University,静岡大学EV,,,,,,,,,,,,,,,,,0,,
,E07,Institut Teknologi Sepuluh Nopember EV,Institut Teknologi Sepuluh Nopember EV,,,,,,,,,,,,,,,,,0,,
,E12,Kanagawa Institute of Technology,神奈川工科大学EV,,,,,,,,,,,,,,,,,0,,
,E13,Toyohashi University of Technology EV,豊橋技術科学大学EV,,,,,,,,,,,,,,,,,0,,
,E15,Tokyo University TechnologyEV,東京工科大学EV,,,,,,,,,,,,,,,,,0,,
,E16,Yokohama National UniversityEV,横浜国立大学EV,,,,,,,,,,,,,,,,,0,,
,E21,Jilin University EV,Jilin University EV,,,,,,,,,,,,,,,,,0,,
,E23,National Taiwan University EV,National Taiwan University EV,,,,,,,,,,,,,,,,,0,,
,E25,University of FukuiEV,福井大学EV,,,,,,,,,,,,,,,,,0,,
,E36,"National Institute of Technology, Ichinoseki College /Iwate UniversityEV",一関工業高等専門学校/岩手大学EV,,,,,,,,,,,,,,,,,0,,
