Place,CarNo.,Team,Team.1,D1 Run 1 Time R,D1 Run 1 Time L,D1 Run 1 # ofCones,D1 Run 1 Adj.,D1 Run 2 Time R,D1 Run 2 Time L,D1 Run 2 # ofCones,D1 Run 2 Adj.,D2 Run 1 Time R,D2 Run 1 Time L,D2 Run 1 # ofCones,D2 Run 1 Adj.,D2 Run 2 Time R,D2 Run 2 Time L,D2 Run 2 # ofCones,D2 Run 2 Adj.,Vio Count,Best Time,Event Score
1,C50,Jilin University,Jilin University,5.142,4.965,0,5.053,5.010,4.908,0,4.959,5.082,5.046,0,5.064,5.023,5.005,0,5.014,0,4.959,75.0
2,C03,Gifu University,岐阜大学,5.026,4.931,0,4.978,4.934,4.998,0,4.966,,,,DNF,,,,DNF,0,4.966,74.44
3,C07,Chiba University,千葉大学,5.073,5.197,0,5.135,5.018,5.046,0,5.032,,,,DNF,,,,DNF,0,5.032,69.27
4,C08,Doshisha University,同志社大学,5.104,5.068,0,5.086,4.983,5.152,0,5.067,5.857,5.556,0,5.706,5.551,5.591,0,5.571,0,5.067,66.58
5,C33,Osaka Institute of Technology,大阪工業大学,5.625,5.741,3,6.058,5.384,7.789,1,6.711,5.092,5.284,0,5.188,5.107,5.145,0,5.126,0,5.126,62.26
6,C01,Kyoto Institute of Technology,京都工芸繊維大学,5.028,5.359,1,5.318,5.057,5.198,0,5.127,5.106,5.223,0,5.164,5.086,5.305,0,5.195,0,5.127,62.16
7,C09,Nippon Institute of Technology,日本工業大学,,,,DNF,5.166,5.160,0,5.163,5.424,5.074,0,5.249,5.161,5.105,0,5.133,0,5.133,61.76
8,E11,Sophia University,上智大学EV,6.497,5.912,3,6.579,6.216,5.659,3,6.312,5.371,5.152,0,5.261,5.142,5.160,0,5.151,0,5.151,60.46
9,C13,Ibaraki University,茨城大学,5.493,5.352,0,5.422,5.090,5.322,0,5.206,5.439,5.327,0,5.383,5.221,5.288,0,5.254,0,5.206,56.6
10,C02,Nihon Automobile College,日本自動車大学校,5.599,5.245,1,5.547,5.406,5.298,0,5.352,5.263,5.162,0,5.212,5.073,5.381,0,5.227,0,5.212,56.15
11,C23,Tokyo University of Agriculture and Technology,東京農工大学,5.575,5.480,0,5.527,5.410,5.373,0,5.391,5.232,5.241,0,5.236,6.094,5.246,4,6.170,0,5.236,54.5
12,E02,Nagoya Institute of TechnologyEV,名古屋工業大学EV,5.622,5.301,0,5.461,5.182,5.326,0,5.254,,,,DNF,,,,DNF,0,5.254,53.32
13,C12,Kyoto University,京都大学,5.327,5.289,0,5.308,5.665,5.072,1,5.493,,,,DNF,,,,DNF,0,5.308,49.74
14,C19,Waseda University,早稲田大学,5.372,5.250,0,5.311,,,,DNF,,,,DNF,,,,DNF,0,5.311,49.54
15,C41,Ritsumeikan University,立命館大学,5.283,5.513,0,5.398,5.355,5.946,0,5.650,5.484,5.280,1,5.507,5.441,5.234,0,5.337,0,5.337,47.83
16,C10,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,5.469,5.307,0,5.388,5.478,5.229,0,5.353,,,,DNF,,,,DNF,0,5.353,46.8
17,C20,Toyota Technical College Nagoya,トヨタ名古屋自動車大学校,5.584,5.670,0,5.627,5.406,5.306,0,5.356,5.445,5.707,0,5.576,,,,DNF,0,5.356,46.64
18,C11,Kyushu Institute of Technology,九州工業大学,5.498,5.880,5,6.314,5.541,5.647,0,5.594,5.429,5.447,0,5.438,5.389,5.375,0,5.382,0,5.382,45.0
19,C17,Tokyo Metropolitan University,東京都立大学,7.123,6.281,0,6.702,5.770,5.572,0,5.671,5.548,5.401,0,5.474,5.419,5.356,0,5.387,0,5.387,44.66
20,E20,University of ToyamaEV,富山大学EV,7.814,7.614,0,7.714,5.416,5.443,0,5.429,,,,DNF,,,,DNF,0,5.429,42.06
21,C14,Shibaura Institute of Technology,芝浦工業大学,6.241,6.218,0,6.229,5.630,5.531,0,5.580,5.455,5.415,0,5.435,,,,DNF,0,5.435,41.73
22,C06,Kobe University,神戸大学,5.267,5.632,0,5.449,5.398,5.368,1,5.508,5.361,8.398,0,6.879,,,,DNF,0,5.449,40.85
23,C25,The University of Kitakyushu,北九州市立大学,5.760,5.847,0,5.803,5.697,5.793,0,5.745,5.617,5.874,0,5.745,5.486,5.482,0,5.484,0,5.484,38.79
24,C21,Nihon University College of Science of Technology,日本大学理工学部,,,,DNF,5.220,5.287,2,5.503,,,,DNF,6.241,5.694,0,5.967,0,5.503,37.64
25,E08,Tohoku University EV,東北大学EV,5.623,5.533,0,5.578,5.500,5.752,0,5.626,,,,DNF,,,,DNF,0,5.578,33.36
