Place,CarNo.,Team,Team.1,TotalScore,CostScore,PresentationScore,DesignScore,AccelerationScore,Skid PadScore,AutocrossScore,EnduranceScore,EfficiencyScore,Enduranceand EfficiencyScore,Penalty
1,6,Kyoto Institute of Technology,京都工芸繊維大学,913.57,77.18,75.0,150.0,92.42,75.0,125.0,275.0,63.97,338.97,-20.0
2,3,Kyoto University,京都大学,760.26,72.43,67.02,110.0,65.33,46.71,95.27,245.34,58.16,303.5,
3,13,Nihon Automobile College,日本自動車大学校,673.33,39.4,57.44,98.0,82.53,21.41,105.02,218.83,50.7,269.53,
4,5,Chiba University,千葉大学,671.74,38.76,63.03,86.0,100.0,61.11,97.26,207.92,37.66,245.58,-20.0
5,28,Nippon Institute of Technology,日本工業大学,610.33,50.92,64.62,69.0,61.83,32.46,89.09,218.89,83.52,302.41,-60.0
6,30,University of Toyama,富山大学,609.42,24.48,59.04,72.0,55.93,18.48,107.1,218.61,53.78,272.39,
7,26,Kogakuin University,工学院大学,583.76,19.62,64.62,60.0,67.07,47.86,93.4,168.44,62.75,231.19,
8,10,Meijo University,名城大学,582.0,28.44,35.9,67.0,70.02,66.91,114.13,221.57,58.03,279.6,-80.0
9,14,Ibaraki University,茨城大学,571.4,37.76,28.72,103.0,44.57,31.72,92.99,170.96,61.68,232.64,
10,48,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,535.16,33.61,44.68,74.0,26.0,32.08,68.52,195.77,80.5,276.27,-20.0
11,17,Saitama University,埼玉大学,455.84,18.7,64.62,58.0,4.5,3.5,74.96,165.33,66.23,231.56,
12,11,Tokyo University of Agriculture and Technology,東京農工大学,422.75,34.4,54.25,54.0,,27.97,79.29,127.71,45.13,172.84,
13,E06,Shizuoka Institute of Science and TechnologyEV,静岡理工科大学EV,389.9,10.02,39.89,79.0,76.92,3.5,52.6,47.97,100.0,147.97,-20.0
14,23,Sanyo-Onoda City University,山陽小野田市立山口東京理科大学,386.22,27.37,39.09,52.0,61.32,3.5,96.03,126.91,0.0,126.91,-20.0
15,7,Gifu University,岐阜大学,368.05,29.32,71.8,77.0,39.33,37.92,107.68,5.0,,5.0,
16,12,University of Yamanashi,山梨大学,367.87,31.66,43.08,71.0,65.81,3.5,94.2,15.0,43.62,58.62,
17,E08,Toyota Technical College TokyoEV,トヨタ東京自動車大学校EV,359.39,17.78,59.04,48.0,23.64,9.08,6.5,111.12,84.23,195.35,
18,25,Teikyo University,帝京大学,348.34,12.83,44.68,49.0,28.98,5.74,21.35,131.16,54.6,185.76,
19,24,Nihon University College of science of technology,日本大学理工学部,347.67,7.1,52.65,70.0,,,59.46,142.37,56.09,198.46,-40.0
20,15,Doshisha University,同志社大学,340.38,49.52,37.5,105.0,23.1,3.5,53.53,16.0,52.23,68.23,
21,16,Kyushu Institute of Technology,九州工業大学,333.93,32.31,55.05,86.0,73.09,0.0,62.48,25.0,0.0,25.0,
22,32,Kurume Institute of Technology,久留米工業大学,316.84,10.0,45.47,38.0,44.97,9.65,41.36,110.18,77.21,187.39,-60.0
23,9,The University of Tokyo,東京大学,312.8,42.41,66.22,87.0,61.63,3.5,37.04,25.0,0.0,25.0,-10.0
